Brand,Name,Price,Url,Tat
Scott International,Men's Regular Fit T-Shirt (Pack of 3)  ,479,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A044357336BP94VOPKYZV&url=%2FScott-International-Regular-T-Shirt-SS20-3RN-BU-GR-CH-XL_Multicolored_X-Large%2Fdp%2FB084L927MC%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058442%26sr%3D8-1-spons%26psc%3D1&qualifier=1649058442&id=7661941855190893&widgetName=sp_atf,"Saturday, April 9"
Scott International,Men's Regular Fit T-Shirt (Pack of 3)  ,479,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00243282QS09YVJKNX3O&url=%2FScott-International-Cotton-T-Shirt-Grey_Small%2Fdp%2FB079ZXPQ4X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058442%26sr%3D8-2-spons%26psc%3D1&qualifier=1649058442&id=7661941855190893&widgetName=sp_atf,"Saturday, April 9"
Van Heusen Athleisure,Men's Regular fit T-Shirt  ,599,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A024151525E6S44Y3SXOF&url=%2FVan-Heusen-Regular-T-Shirt-IHTS1LNV60046_Navy%2Fdp%2FB08Q93NWZ5%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058442%26sr%3D8-3-spons%26psc%3D1&qualifier=1649058442&id=7661941855190893&widgetName=sp_atf,"Saturday, April 9"
ZMARK'S,Men's Ployster Cotton Casual Regular Fit T-Shirt [721]  ,682,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0849354368PLKT1LP0R2&url=%2FZMARKS-Ployster-Cotton-Regular-T-Shirt%2Fdp%2FB09WJ1V8NX%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058442%26sr%3D8-4-spons%26psc%3D1&qualifier=1649058442&id=7661941855190893&widgetName=sp_atf,"Tuesday, April 12"
Allen Solly,Men's Polo  ,529,https://amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_Large/dp/B06Y2FG6R7/ref=sr_1_5?keywords=t-shirts&qid=1649058442&sr=8-5,"Saturday, April 9"
Scott International,Men's Regular Fit T-Shirt (Pack of 3)  ,479,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A044357336BP94VOPKYZV&url=%2FScott-International-Regular-T-Shirt-SS20-3RN-BU-GR-CH-XL_Multicolored_X-Large%2Fdp%2FB084L927MC%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-1-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_atf,"Saturday, April 9"
Scott International,Men's Regular Fit T-Shirt (Pack of 3)  ,479,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00243282QS09YVJKNX3O&url=%2FScott-International-Cotton-T-Shirt-Grey_Small%2Fdp%2FB079ZXPQ4X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-2-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_atf,"Saturday, April 9"
Van Heusen Athleisure,Men's Regular fit T-Shirt  ,599,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A024151525E6S44Y3SXOF&url=%2FVan-Heusen-Regular-T-Shirt-IHTS1LNV60046_Navy%2Fdp%2FB08Q93NWZ5%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-3-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_atf,"Saturday, April 9"
Van Heusen Athleisure,Men's Regular Fit T-Shirt  ,875,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A025859123IK43JNSPR1U&url=%2FVan-Heusen-Regular-T-Shirt-70017_Imperial%2Fdp%2FB083C31719%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-4-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_atf,"Saturday, April 9"
Allen Solly,Men's Polo  ,529,https://amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_Large/dp/B06Y2FG6R7/ref=sr_1_5?keywords=t-shirts&qid=1649058682&sr=8-5,"Saturday, April 9"
